Date,ClientName,Side,Symbol,OrdType,TaskQty,ClOrdID,StartTime,EndTime,CancelFlag,OrderCount,CancelledCount,FilledQty,AvgPx,Status,TWAP,VWAP,BasketID,Fee,OtherFee,CumVolPercentage(%),Pnl,CumQtyBuy,CumQtySell,AvgPxBuy,AvgPxSell,EodPrice
2022-06-14,ruifeng6,S,002344.SZ,"TWAP_Plus	",100,"20838447148000266	","130551000	","131551000	",2,1,0,100,4.45,0,4.4562,4.456258,,-0.06675,-0.484471,0.0149,null,null,null,null,null,null
2022-06-14,ruifeng6,B,000976.SZ,"TWAP_Plus	",200,"20838447148000267	","130551000	","131551000	",2,2,1,200,4.14,0,4.14605,4.148369,,-0.1242,-0.073444,0.0541,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000703.SZ,"TWAP_Plus	",400,"20838447148000268	","130551000	","131551000	",2,1,0,400,11.97,0,11.964275,11.972031,,-0.7182,-5.212696,0.0415,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000625.SZ,"TWAP_Plus	",300,"20838447148000269	","130551000	","131551000	",0,0,0,0,0.0,0,17.6196,17.652412,,0.0,0.0,0.0000,null,null,null,null,null,null
2022-06-14,ruizeng8,B,600075.SH,"TWAP_Plus	",100,"20838447148000270	","130551000	","131551000	",2,1,0,100,6.84,0,6.840275,6.840597,,-0.1026,-0.060671,0.0150,null,null,null,null,null,null
2022-06-14,ruizeng8,B,300476.SZ,"TWAP_Plus	",100,"20838447148000271	","130551000	","131551000	",2,1,0,100,16.34,0,16.346525,16.340125,,-0.2451,-0.144936,0.0209,null,null,null,null,null,null
2022-06-14,ruizeng8,S,600705.SH,"TWAP_Plus	",100,"20838447148000272	","130551000	","131551000	",2,2,1,100,3.45,0,3.453342,3.451018,,-0.05175,-0.375602,0.0089,null,null,null,null,null,null
2022-06-14,ruifeng6,S,600705.SH,"TWAP_Plus	",300,"20838447148000273	","130551000	","131551000	",2,2,1,300,3.45,0,3.453342,3.451018,,-0.15525,-1.126805,0.0266,null,null,null,null,null,null
2022-06-14,ruifeng6,S,601669.SH,"TWAP_Plus	",300,"20838447148000274	","130551000	","131551000	",2,1,0,300,7.75,0,7.75415,7.75566,,-0.34875,-2.531227,0.0091,null,null,null,null,null,null
2022-06-14,ruifeng6,S,000783.SZ,"TWAP_Plus	",300,"20838447148000275	","130551000	","131551000	",2,1,0,300,5.8,0,5.794125,5.795228,,-0.261,-1.894338,0.0712,null,null,null,null,null,null
2022-06-14,ruifeng6,B,600459.SH,"TWAP_Plus	",100,"20838447148000276	","130551000	","131551000	",2,1,0,100,17.8,0,17.833458,17.845602,,-0.267,-0.157886,0.0315,null,null,null,null,null,null
2022-06-14,ruifeng6,S,002245.SZ,"TWAP_Plus	",100,"20838447148000277	","130551000	","131551000	",2,1,0,100,22.66,0,22.6049,22.620197,,-0.3399,-2.466994,0.0083,null,null,null,null,null,null
2022-06-14,ruiyan1,S,000883.SZ,"TWAP_Plus	",200,"20838447750000000	","131553000	","132553000	",0,0,0,0,0.0,0,5.36195,5.371837,,0.0,0.0,0.0000,null,null,null,null,null,null
